Brand,Model,Type,Screen Size,Screen Resolution,RAM,Operating System,CPU Brand,CPU Model,CPU Rate,SSD,HDD,GPU Brand,GPU Model,Price
HP,250 G6,Notebook,15.6,Full HD 1920x1080,8GB,No OS,Intel,Core i5 7200U,2.5GHz,256,0,Intel,HD Graphics 620,575.0
Acer,Aspire 3,Notebook,15.6,1366x768,4GB,Windows 10,AMD,A9-Series 9420,3GHz,0,500,AMD,Radeon R5,400.0
Asus,ZenBook UX430UN,Ultrabook,14.0,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 8550U,1.8GHz,512,0,Nvidia,GeForce MX150,1495.0
Acer,Swift 3,Ultrabook,14.0,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,Intel,UHD Graphics 620,770.0
HP,250 G6,Notebook,15.6,1366x768,4GB,No OS,Intel,Core i5 7200U,2.5GHz,0,500,Intel,HD Graphics 620,393.9
HP,250 G6,Notebook,15.6,Full HD 1920x1080,4GB,No OS,Intel,Core i3 6006U,2GHz,0,500,Intel,HD Graphics 520,344.99
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,4GB,Windows 10,Intel,Core i3 6006U,2GHz,256,0,AMD,Radeon R5 M430,498.9
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,256,0,AMD,Radeon R5 M430,745.0
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,8GB,No OS,Intel,Core i3 7100U,2.4GHz,0,1,Nvidia,GeForce 940MX,499.0
Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,128,0,Intel,UHD Graphics 620,979.0
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7300HQ,2.5GHz,128,1,Nvidia,GeForce GTX 1050,999.0
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,Intel,UHD Graphics 620,819.0
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,Intel,HD Graphics 620,659.0
Dell,Inspiron 3567,Notebook,15.6,1366x768,4GB,Windows 10,Intel,Core i3 6006U,2GHz,0,1,Intel,HD Graphics 520,418.64
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,AMD,Radeon 530,800.0
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,0,1,Nvidia,GeForce 930MX,896.0
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,Full HD 1920x1080,4GB,Windows 10,AMD,A6-Series 9220,2.5GHz,0,500,AMD,Radeon 530,439.0
Dell,XPS 13,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,16GB,Windows 10,Intel,Core i7 8550U,1.8GHz,512,0,Intel,UHD Graphics 620,1869.0
Acer,Aspire 3,Notebook,15.6,1366x768,4GB,Linux,Intel,Core i3 7130U,2.7GHz,0,1,Intel,HD Graphics 620,367.0
Dell,Inspiron 5770,Notebook,17.3,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,128,1,AMD,Radeon 530,979.0
HP,250 G6,Notebook,15.6,1366x768,4GB,Windows 10,Intel,Core i5 7200U,2.5GHz,0,1,Intel,HD Graphics 620,488.69
HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,Nvidia,GeForce 930MX ,879.0
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,Full HD 1920x1080,4GB,Linux,Intel,Core i3 6006U,2GHz,0,1,Intel,HD Graphics 620,389.0
Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,1,Nvidia,GeForce GTX 1060,1499.0
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,1366x768,8GB,Linux,Intel,Core i5 7200U,2.5GHz,0,1,Nvidia,GeForce 940MX,522.99
Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,4GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,Intel,UHD Graphics 620,682.0
Dell,Inspiron 7773,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,12GB,Windows 10,Intel,Core i5 8250U,1.6GHz,0,1,Nvidia,GeForce 150MX,999.0
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,4GB,No OS,Intel,Core i3 6006U,2GHz,128,0,Intel,HD Graphics 520,369.0
Asus,Rog Strix,Gaming,17.3,Full HD 1920x1080,8GB,Windows 10,AMD,Ryzen 1700,3GHz,256,1,AMD,Radeon RX 580,1299.0
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,4GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,AMD,Radeon R5 M430,639.0
Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,Nvidia,GeForce MX150,841.0
HP,255 G6,Notebook,15.6,Full HD 1920x1080,4GB,Windows 10,AMD,A6-Series 9220,2.5GHz,256,0,AMD,Radeon R4 Graphics,398.49
HP,ProBook 430,Notebook,13.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,512,0,Intel,UHD Graphics 620,1103.0
Acer,Aspire 3,Notebook,15.6,1366x768,4GB,Windows 10,Intel,Core i3 7100U,2.4GHz,0,1,Intel,HD Graphics 620,384.0
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,AMD,Radeon 520,767.8
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,4GB,Windows 10,Intel,Core i3 6006U,2GHz,128,0,Intel,HD Graphics 520,439.0
Asus,VivoBook Max,Notebook,15.6,1366x768,4GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,Intel,HD Graphics 620,586.19
MSI,GS73VR 7RG,Gaming,17.3,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,2,Nvidia,GeForce GTX 1070,2449.0
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,Full HD 1920x1080,4GB,Linux,Intel,Core i3 6006U,2GHz,256,0,Intel,HD Graphics 520,415.0
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,2,AMD,Radeon 530,1299.0
Dell,Vostro 5471,Ultrabook,14.0,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,Intel,UHD Graphics 620,879.0
Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,IPS Panel Full HD 1920x1080,8GB,No OS,Intel,Core i3 7130U,2.7GHz,256,0,Intel,HD Graphics 620,599.0
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,Intel,UHD Graphics 620,941.0
HP,250 G6,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,Intel,HD Graphics 620,690.0
Asus,ZenBook Pro,Ultrabook,15.6,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,512,0,Nvidia,GTX 1050 Ti,1983.0
HP,250 G6,Notebook,15.6,1366x768,4GB,Windows 10,Intel,Core i3 6006U,2GHz,0,500,AMD,Radeon 520,438.69
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,4GB,Windows 10,Intel,Core i5 7200U,2.5GHz,0,1,Intel,HD Graphics 620,549.0
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,Full HD 1920x1080,12GB,Linux,Intel,Core i7 7700HQ,2.8GHz,0,1,Nvidia,GTX 1050 Ti,949.0
Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,4GB,Windows 10 S,Intel,Core i5 7200U,2.5GHz,128,0,Intel,HD Graphics 620,1089.0
Dell,Inspiron 5370,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,AMD,Radeon 530,955.0
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,AMD,Radeon 530,870.0
MSI,GL72M 7RDX,Gaming,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7300HQ,2.5GHz,128,1,Nvidia,GeForce GTX 1050,1095.0
Acer,Aspire E5-475,Notebook,14.0,1366x768,8GB,Windows 10,Intel,Core i3 6006U,2GHz,0,1,Intel,HD Graphics 520,389.0
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,0,1,Nvidia,GeForce GTX 1050,949.0
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,8GB,No OS,Intel,Core i5 7200U,2.5GHz,0,2,Intel,HD Graphics 620,519.0
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,128,1,Intel,UHD Graphics 620,855.0
Acer,Aspire A515-51G-32MX,Notebook,15.6,Full HD 1920x1080,4GB,Windows 10,Intel,Core i3 7130U,2.7GHz,0,1,Nvidia,GeForce MX130,530.0
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,128,1,Nvidia,GeForce 930MX,977.0
